,RIC,Date,Gamma Estimate,CI Lower Bound,CI Upper Bound
538,SCMN.S,2024-01-31,1.1268738535817035e-09,-2.473460403742344e-09,4.727208110905751e-09
539,SCMN.S,2024-02-01,1.8609024162051248e-09,1.001229789169089e-09,2.7205750432411604e-09
540,SCMN.S,2024-02-02,1.6526882420610731e-09,7.461546618165012e-10,2.5592218223056452e-09
541,SCMN.S,2024-02-05,8.427724792719526e-10,-8.469746079675865e-11,1.7702424193406637e-09
542,SCMN.S,2024-02-06,1.8326957040789194e-09,1.3333732567342636e-09,2.332018151423575e-09
543,SCMN.S,2024-02-07,1.2020287631857956e-09,6.335721700310773e-10,1.7704853563405138e-09
544,SCMN.S,2024-02-08,4.4405576483839094e-09,3.738015395294791e-09,5.143099901473028e-09
545,SCMN.S,2024-02-09,9.94223110879974e-10,3.9631083205588165e-10,1.5921353897040664e-09
546,SCMN.S,2024-02-12,1.878177611133643e-09,7.912800399751806e-10,2.965075182292105e-09
547,SCMN.S,2024-02-13,1.1523789175535272e-09,1.1590215850705448e-10,2.1888556766e-09
548,SCMN.S,2024-02-14,1.2746085204628725e-09,8.921602384274059e-10,1.6570568024983393e-09
549,SCMN.S,2024-02-15,1.7839243609047017e-09,1.2073902721386102e-09,2.360458449670793e-09
550,SCMN.S,2024-02-16,2.66608432429988e-09,1.3129361706581406e-09,4.019232477941619e-09
551,SCMN.S,2024-02-19,3.6449183036775943e-09,2.0876057078316313e-09,5.202230899523557e-09
552,SCMN.S,2024-02-20,3.0402077691383044e-09,2.131304706442389e-09,3.94911083183422e-09
553,SCMN.S,2024-02-21,6.038392538162168e-09,2.6483025478002166e-09,9.428482528524119e-09
554,SCMN.S,2024-02-22,1.0581414858781626e-09,2.005912004798818e-10,1.9156917712764433e-09
555,SCMN.S,2024-02-23,2.7443702185310375e-09,2.0600783401751466e-09,3.4286620968869284e-09
556,SCMN.S,2024-02-26,2.476275962335342e-09,1.3327366651228949e-09,3.6198152595477895e-09
557,SCMN.S,2024-02-27,2.1339851410370354e-09,1.4067355062463825e-09,2.8612347758276884e-09
558,SCMN.S,2024-02-29,1.586521869407082e-09,1.0679782155740864e-09,2.1050655232400776e-09
559,SCMN.S,2024-03-01,2.1276695472428054e-09,1.2164095021239357e-09,3.038929592361675e-09
560,SCMN.S,2024-03-04,8.932829320312829e-10,-1.7307070993716194e-10,1.959636573999728e-09
561,SCMN.S,2024-03-05,6.5004632162991745e-09,3.8933846290721815e-09,9.107541803526167e-09
562,SCMN.S,2024-03-06,5.758846183221566e-09,4.455423302231607e-09,7.062269064211526e-09
563,SCMN.S,2024-03-07,1.5881400977843424e-09,-4.1152005210895597e-10,3.587800247677641e-09
564,SCMN.S,2024-03-08,2.2184239422659894e-09,1.1318618541744059e-09,3.304986030357573e-09
565,SCMN.S,2024-03-11,4.401558467308739e-09,3.0979902707350006e-09,5.7051266638824766e-09
566,SCMN.S,2024-03-12,2.841547120420446e-09,1.9666728289154944e-09,3.7164214119253974e-09
567,SCMN.S,2024-03-13,1.0647536981230449e-09,6.42485257341667e-10,1.4870221389044228e-09
568,SCMN.S,2024-03-14,2.1019820998901104e-09,1.7233027540774945e-09,2.480661445702726e-09
569,SCMN.S,2024-03-15,6.147310301904824e-10,2.600780588449884e-10,9.693840015359762e-10
570,SCMN.S,2024-03-18,7.793794723857628e-10,1.7492628695167272e-10,1.3838326578198528e-09
571,SIKA.S,2023-12-21,6.669151882767299e-10,4.4577136954798525e-10,8.880590070054745e-10
572,SIKA.S,2023-12-22,1.300213181411416e-09,9.944841182265721e-10,1.6059422445962597e-09
573,SIKA.S,2023-12-27,9.74266133315252e-10,6.701901759598246e-10,1.2783420906706792e-09
574,SIKA.S,2023-12-28,5.420772556096207e-10,-1.2245862466389355e-10,1.2066131358831349e-09
575,SIKA.S,2023-12-29,3.5673590673973356e-10,1.1145909728481931e-10,6.020127161946478e-10
576,SIKA.S,2024-01-03,5.390883658937585e-10,3.3113979685804755e-10,7.470369349294694e-10
577,SIKA.S,2024-01-04,8.388935132732581e-10,4.691784328118739e-10,1.2086085937346425e-09
578,SIKA.S,2024-01-05,4.603204891442794e-10,2.7805831555935484e-10,6.42582662729204e-10
579,SIKA.S,2024-01-08,9.807955703640572e-10,6.044734891577694e-10,1.357117651570345e-09
580,SIKA.S,2024-01-09,5.31430678786965e-10,-4.41104807477314e-11,1.1069718383216614e-09
581,SIKA.S,2024-01-10,8.794521329749603e-10,4.03043493023319e-10,1.3558607729266016e-09
582,SIKA.S,2024-01-11,7.049692363443192e-10,3.555041509129162e-10,1.0544343217757223e-09
583,SIKA.S,2024-01-12,2.642998184719591e-10,5.056714565981032e-11,4.780324912841079e-10
584,SIKA.S,2024-01-15,5.946377600292575e-10,4.328361175499324e-10,7.564394025085825e-10
585,SIKA.S,2024-01-16,2.5379653447260025e-10,1.3238321411657706e-11,4.943547475335428e-10
586,SIKA.S,2024-01-17,2.443605578207987e-10,1.6884084505104338e-10,3.19880270590554e-10
587,SIKA.S,2024-01-18,5.065397516935484e-10,3.763915673192078e-10,6.366879360678889e-10
588,SIKA.S,2024-01-19,6.478892284770452e-10,5.430072073344989e-10,7.527712496195915e-10
589,SIKA.S,2024-01-22,5.026732678025523e-10,3.674428023806019e-10,6.379037332245027e-10
590,SIKA.S,2024-01-23,6.843920547358024e-10,1.2851317908417138e-10,1.2402709303874335e-09
591,SIKA.S,2024-01-24,1.5806656573020398e-10,7.479053080726538e-11,2.4134260065314255e-10
592,SIKA.S,2024-01-25,4.218606499579863e-10,3.257802376001825e-10,5.179410623157901e-10
593,SIKA.S,2024-01-26,5.903715889154348e-10,4.551671232011285e-10,7.255760546297411e-10
594,SIKA.S,2024-01-29,1.3697898148436552e-09,1.1206931220604056e-09,1.6188865076269048e-09
595,SIKA.S,2024-01-30,5.578424949658762e-10,4.388626008815204e-10,6.768223890502319e-10
596,SIKA.S,2024-01-31,3.752872623416778e-10,2.2437669555989735e-10,5.261978291234583e-10
597,SIKA.S,2024-02-01,7.043108849482602e-10,2.3990442679155263e-10,1.1687173431049678e-09
598,SIKA.S,2024-02-02,1.8800646835175003e-09,1.476956028936504e-09,2.2831733380984967e-09
599,SIKA.S,2024-02-05,3.811367746808255e-10,6.211189049809177e-11,7.001616588635592e-10
600,SIKA.S,2024-02-06,3.8001013886095536e-10,1.5916824531797825e-10,6.008520324039324e-10
601,SIKA.S,2024-02-07,1.0616896986488524e-09,8.925827107987964e-10,1.2307966864989083e-09
602,SIKA.S,2024-02-08,3.1758392691096807e-10,8.921024674359021e-11,5.459576070783459e-10
