,RIC,Date,Gamma Estimate,CI Lower Bound,CI Upper Bound
161,LISN.S,2024-01-31,3.46652299456295e-06,-4.773000135497062e-08,6.9807759904808704e-06
162,LISN.S,2024-02-01,1.8093811934232742e-05,-2.376120587442404e-05,5.9948829742889525e-05
163,LISN.S,2024-02-02,8.758790700089147e-06,2.923287473778664e-07,1.7225252652800426e-05
164,LISN.S,2024-02-05,2.0310776152232115e-05,1.3333191264969421e-05,2.728836103949481e-05
165,LISN.S,2024-02-06,7.258081454549308e-06,2.2772588943395293e-06,1.2238904014759088e-05
166,LISN.S,2024-02-07,4.417115019151906e-06,2.2068099968459835e-06,6.6274200414578285e-06
167,LISN.S,2024-02-08,8.618661376369464e-06,5.572612382588532e-06,1.1664710370150395e-05
168,LISN.S,2024-02-09,8.682802433805738e-06,-6.298048365005094e-06,2.3663653232616572e-05
169,LISN.S,2024-02-12,1.3272413322291995e-05,3.2871924520563266e-06,2.3257634192527664e-05
170,LISN.S,2024-02-13,2.6297933305032663e-06,8.15862322094578e-07,4.443724338911955e-06
171,LISN.S,2024-02-14,4.249058809460168e-06,4.269237807820227e-07,8.071193838138314e-06
172,LISN.S,2024-02-15,8.996109076708135e-06,5.696586559847854e-06,1.2295631593568417e-05
173,LISN.S,2024-02-16,7.800526145050301e-06,2.043878227990726e-06,1.3557174062109877e-05
174,LISN.S,2024-02-19,1.0110597999243504e-05,4.523281512203154e-06,1.5697914486283854e-05
175,LISN.S,2024-02-20,2.16824219374262e-05,1.347957689779692e-06,4.201688618507271e-05
176,LISN.S,2024-02-21,7.973983934468745e-06,1.645788406634343e-06,1.4302179462303148e-05
177,LISN.S,2024-02-22,1.9629922314343847e-06,-3.306539884227008e-06,7.2325243470957775e-06
178,LISN.S,2024-02-23,9.66648422271062e-06,3.926046012013249e-06,1.540692243340799e-05
179,LISN.S,2024-02-26,5.486477590546945e-06,2.3491509225705148e-06,8.623804258523376e-06
180,LISN.S,2024-02-27,2.1058875489982315e-06,3.471398823011804e-07,3.8646352156952825e-06
181,LISN.S,2024-02-28,2.9957632076699364e-06,1.3135921154424526e-06,4.67793429989742e-06
182,LISN.S,2024-02-29,6.041665704468636e-07,-6.203854040164591e-07,1.8287185449101863e-06
183,LISN.S,2024-03-01,7.327994669044717e-07,-1.57041000040337e-06,3.0360089342123137e-06
184,LISN.S,2024-03-04,2.10792222384653e-06,3.858643795192791e-07,3.8299800681737805e-06
185,LISN.S,2024-03-05,2.03679234377255e-06,-6.474468781237481e-07,4.721031565668848e-06
186,LISN.S,2024-03-06,5.909078384362893e-06,9.795249302347977e-07,1.0838631838490989e-05
187,LISN.S,2024-03-07,3.15482084336668e-06,2.052763707038638e-06,4.256877979694722e-06
188,LISN.S,2024-03-08,1.2864380171250801e-06,-5.762105114880591e-07,3.1490865457382196e-06
189,LISN.S,2024-03-11,1.0862670131083077e-05,3.230490066301709e-06,1.8494850195864444e-05
190,LISN.S,2024-03-12,0.00019629867386799374,-0.00016221997469253934,0.0005548173224285268
191,LONN.S,2024-01-26,1.9569085981747627e-09,1.3554236396518326e-09,2.5583935566976928e-09
192,LONN.S,2024-01-29,5.405544724650976e-09,4.069952208724533e-09,6.741137240577419e-09
193,LONN.S,2024-01-30,4.743237617082794e-10,2.4273344011659097e-10,7.059140832999679e-10
194,LONN.S,2024-01-31,8.784849898574445e-10,4.6127681106264185e-10,1.295693168652247e-09
195,LONN.S,2024-02-01,3.6199274609906685e-10,1.0827877192121275e-10,6.157067202769209e-10
196,LONN.S,2024-02-02,1.403595158395518e-10,-1.5173596743440056e-10,4.3245499911350416e-10
197,LONN.S,2024-02-05,2.8757071385129516e-09,4.1110279918632727e-10,5.340311477839576e-09
198,LONN.S,2024-02-06,6.661107477404248e-10,2.6260766741366203e-10,1.0696138280671875e-09
199,LONN.S,2024-02-07,2.225406188239589e-09,1.721561302881834e-09,2.7292510735973442e-09
200,LONN.S,2024-02-08,2.0882016950645607e-09,1.601311394709221e-09,2.5750919954199004e-09
201,LONN.S,2024-02-09,2.0210619944250395e-09,3.647831988282801e-10,3.6773407900217987e-09
202,LONN.S,2024-02-12,6.384815018728564e-10,3.636752765322532e-10,9.132877272134597e-10
203,LONN.S,2024-02-13,6.530997984398682e-10,1.0535724660106026e-10,1.200842350278676e-09
204,LONN.S,2024-02-14,7.624798742944756e-10,3.195500006268183e-10,1.205409747962133e-09
205,LONN.S,2024-02-15,3.7010898206541636e-10,4.029323176078017e-11,6.999247323700525e-10
206,LONN.S,2024-02-16,2.725523853198649e-10,-4.602010683203514e-11,5.911248774717649e-10
207,LONN.S,2024-02-19,2.7261299035501065e-10,-5.378554014930808e-11,5.990115208593293e-10
208,LONN.S,2024-02-20,1.2228340706374673e-09,6.090949747008257e-10,1.836573166574109e-09
209,LONN.S,2024-02-21,5.983169759915645e-10,3.011129419363276e-10,8.955210100468014e-10
210,LONN.S,2024-02-22,3.316005557855412e-10,-3.5231737793505397e-10,1.0155184895061363e-09
211,LONN.S,2024-02-23,1.6438597695522353e-09,1.1397324174039356e-09,2.147987121700535e-09
212,LONN.S,2024-02-26,2.741581711985382e-10,1.3866466937616187e-10,4.0965167302091454e-10
213,LONN.S,2024-02-27,1.0837974955861092e-09,2.38080341547553e-10,1.9295146496246653e-09
214,LONN.S,2024-03-05,4.75635360555876e-10,9.521590438842093e-11,8.560548167233309e-10
215,LONN.S,2024-03-06,1.3165950128506866e-09,9.273788517302504e-10,1.7058111739711229e-09
216,LONN.S,2024-03-07,2.0909443567091348e-10,-5.6671792648101875e-11,4.748606639899288e-10
217,LONN.S,2024-03-08,1.2701596819247557e-09,6.557615629464889e-10,1.8845578009030224e-09
218,LONN.S,2024-03-11,9.739212339870533e-10,5.029110944349275e-10,1.444931373539179e-09
219,LONN.S,2024-03-12,4.026744349685501e-08,1.9219207286214502e-09,7.861296626508857e-08
220,NESN.S,2024-01-26,4.159170301288914e-12,-3.2304255537664173e-12,1.1548766156344244e-11
221,NESN.S,2024-01-29,1.856890313369306e-11,1.17681648909026e-11,2.536964137648352e-11
222,NESN.S,2024-01-30,1.8081194568233533e-11,1.1667789320407372e-11,2.4494599816059696e-11
223,NESN.S,2024-01-31,-5.514724618653057e-12,-1.9465474283972616e-11,8.436025046666501e-12
224,NESN.S,2024-02-01,1.467104148987289e-11,3.3817367046118306e-12,2.5960346275133946e-11
225,NESN.S,2024-02-02,8.189143389013395e-12,2.7635524528020994e-12,1.361473432522469e-11
226,NESN.S,2024-02-05,3.779449562821599e-11,1.6232651183161162e-11,5.935634007327081e-11
227,NESN.S,2024-02-06,1.0626617236628372e-11,2.475656138968211e-12,1.8777578334288533e-11
228,NESN.S,2024-02-07,2.2981940003061915e-11,6.447742943599873e-12,3.9516137062523955e-11
229,NESN.S,2024-02-09,1.0328795249097885e-10,7.690694763730332e-11,1.2966895734465438e-10
230,NESN.S,2024-02-12,1.0068778221465566e-11,3.959772327417351e-12,1.6177784115513782e-11
231,NESN.S,2024-02-13,3.999051372845628e-11,2.7713820993943593e-11,5.226720646296896e-11
232,NESN.S,2024-02-15,2.6692550578686528e-11,1.92895767115872e-11,3.4095524445785854e-11
233,NESN.S,2024-02-16,4.1902270384595503e-11,2.942833263214718e-11,5.4376208137043826e-11
234,NESN.S,2024-02-19,1.8683735472996652e-11,6.251835243406468e-12,3.1115635702586835e-11
235,NESN.S,2024-02-22,1.209172055086507e-11,-3.210963874429923e-11,5.629307984602937e-11
236,NESN.S,2024-02-23,3.000180403351343e-11,2.5812921630569018e-11,3.419068643645784e-11
237,NESN.S,2024-02-26,1.8101964795639386e-11,1.2391537797384092e-11,2.381239179389468e-11
238,NESN.S,2024-02-27,1.3962248630729128e-11,1.0875695534368253e-11,1.7048801727090002e-11
239,NESN.S,2024-02-28,1.1258728849028898e-11,6.361509439141412e-12,1.6155948258916384e-11
240,NESN.S,2024-02-29,6.0725637431228946e-12,4.530949638095633e-12,7.614177848150157e-12
241,NESN.S,2024-03-01,4.82268323399637e-11,4.22882764720912e-11,5.4165388207836204e-11
242,NESN.S,2024-03-04,1.4430647621085282e-11,4.62581587418879e-12,2.4235479367981777e-11
243,NESN.S,2024-03-05,2.311841194114077e-11,1.2515275386649407e-11,3.372154849563213e-11
244,NESN.S,2024-03-06,3.35669597382604e-11,2.6670181962657725e-11,4.046373751386307e-11
245,NESN.S,2024-03-07,1.960226265040607e-11,1.465937416941815e-11,2.454515113139399e-11
246,NESN.S,2024-03-08,3.462503351020216e-11,2.467730286520323e-11,4.4572764155201094e-11
247,NESN.S,2024-03-11,5.1630060923712244e-11,3.63800792903293e-11,6.688004255709519e-11
248,NESN.S,2024-03-12,1.16504997776354e-09,-1.2858302661301596e-10,2.458682982140096e-09
